cast
Henry Cavill
Wiley Wiggins
Matthew McConaughey
Rory Cochrane
Michael J. Fox
Christopher Lloyd
Lea Thompson
Crispin Glover
Leonardo DiCaprio
Emily Mortimer
Mark Ruffalo
Ben Kingsley
Jodie Foster
Anthony Hopkins
Lawrence A. Bonney
Kasi Lemmons
Ryan Reynolds
Josh Brolin
Morena Baccarin
Julian Dennison
Al Pacino
Robert De Niro
Robert Duvall
Diane Keaton
Keanu Reeves
Laurence Fishburne
Carrie-Anne Moss
Hugo Weaving
Tom Hanks
Robin Wright
Gary Sinise
Sally Field
Ben Affleck
Rosamund Pike
Neil Patrick Harris
Tyler Perry
Robert Downey Jr.
Chris Evans
Scarlett Johansson
Jeremy Renner
William H. Macy
Frances McDormand
Steve Buscemi
Peter Stormare
Keira Knightley
Matthew Macfadyen
Brenda Blethyn
Donald Sutherland
Liam Neeson
Ralph Fiennes
Ben Kingsley
Caroline Goodall
Chris Pratt
Zoe Saldana
Dave Bautista
Vin Diesel
Tom Hanks
Michael Clarke Duncan
David Morse
Bonnie Hunt
Daniel Craig
Javier Bardem
Naomie Harris
Judi Dench
Dean-Charles Chapman
George MacKay
Daniel Mays
Colin Firth
Brad Pitt
Edward Norton
Meat Loaf
Zach Grenier
Daniel Radcliffe
Emma Watson
Rupert Grint
Bill Nighy
Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Martin Sheen
Marlon Brando
Robert Duvall
Frederic Forrest
Robert De Niro
Ray Liotta
Joe Pesci
Lorraine Bracco
Timothy Bottoms
Jeff Bridges
Cybill Shepherd
Ben Johnson
Leonardo DiCaprio
Matt Damon
Jack Nicholson
Mark Wahlberg
Tommy Lee Jones
Javier Bardem
Josh Brolin
Woody Harrelson
Ryan Reynolds
Morena Baccarin
T.J. Miller
Ed Skrein
Christian Bale
Hugh Jackman
Scarlett Johansson
Michael Caine
Jamie Foxx
Christoph Waltz
Leonardo DiCaprio
Kerry Washington
Robert Downey Jr.
Gwyneth Paltrow
Terrence Howard
Jeff Bridges
Christian Bale
Tom Hardy
Anne Hathaway
Gary Oldman
Viggo Mortensen
Mahershala Ali
Linda Cardellini
Sebastian Maniscalco
Sam Worthington
Zoe Saldana
Sigourney Weaver
Michelle Rodriguez
Christian Bale
Justin Theroux
Josh Lucas
Bill Sage
Saoirse Ronan
Emma Watson
Florence Pugh
Eliza Scanlen
Sam Neill
Laura Dern
Jeff Goldblum
Richard Attenborough
Tom Hardy
Charlize Theron
Nicholas Hoult
Zoë Kravitz
Kevin Spacey
Annette Bening
Thora Birch
Wes Bentley
Jeff Bridges
John Goodman
Julianne Moore
Steve Buscemi
Bruce Willis
Milla Jovovich
Gary Oldman
Ian Holm
Daniel Kaluuya
Allison Williams
Bradley Whitford
Catherine Keener
Jean Reno
Gary Oldman
Natalie Portman
Danny Aiello
Ralph Fiennes
F. Murray Abraham
Mathieu Amalric
Adrien Brody
Lin-Manuel Miranda
Phillipa Soo
Leslie Odom Jr.
Renée Elise Goldsberry
Charlie Cox
Claire Danes
Sienna Miller
Ian McKellen
Morgan Freeman
Brad Pitt
Kevin Spacey
Andrew Kevin Walker
Hugh Jackman
Patrick Stewart
Dafne Keen
Boyd Holbrook
Brad Pitt
Robin Wright
Jonah Hill
Philip Seymour Hoffman
Elijah Wood
Viggo Mortensen
Ian McKellen
Orlando Bloom
Ellen Burstyn
Jared Leto
Jennifer Connelly
Marlon Wayans
Adrien Brody
Thomas Kretschmann
Frank Finlay
Emilia Fox
Domhnall Gleeson
Rachel McAdams
Bill Nighy
Lydia Wilson
Sigourney Weaver
Michael Biehn
Carrie Henn
Paul Reiser
Miles Teller
J.K. Simmons
Melissa Benoist
Paul Reiser
Matt Damon
Christian Bale
Jon Bernthal
Caitriona Balfe
Armie Hammer
Timothée Chalamet
Michael Stuhlbarg
Amira Casar
Al Pacino
Diane Keaton
Andy Garcia
Talia Shire
Gerard Butler
Lena Headey
David Wenham
Dominic West
Fionn Whitehead
Barry Keoghan
Mark Rylance
Tom Hardy
Cary Elwes
Mandy Patinkin
Robin Wright
Chris Sarandon
Al Pacino
Robert De Niro
Val Kilmer
Jon Voight
Jake Gyllenhaal
Heath Ledger
Michelle Williams
Randy Quaid
Mel Gibson
Sophie Marceau
Patrick McGoohan
Angus Macfadyen
Daniel Radcliffe
Emma Watson
Rupert Grint
Eric Sykes
Robert De Niro
Jodie Foster
Cybill Shepherd
Albert Brooks
Martin Freeman
Ian McKellen
Richard Armitage
Andy Serkis
Christian Bale
Michael Caine
Ken Watanabe
Liam Neeson
Andrew Garfield
Sam Worthington
Luke Bracey
Teresa Palmer
Hugh Jackman
Jake Gyllenhaal
Viola Davis
Melissa Leo
Mike Myers
Eddie Murphy
Cameron Diaz
John Lithgow
Viggo Mortensen
George MacKay
Samantha Isler
Annalise Basso
Malcolm McDowell
Patrick Magee
Michael Bates
Warren Clarke
Tom Guiry
Mike Vitar
Art LaFleur
Patrick Renna
Matt Damon
Jessica Chastain
Kristen Wiig
Kate Mara
Jesse Eisenberg
Andrew Garfield
Justin Timberlake
Rooney Mara
Robert De Niro
Al Pacino
Joe Pesci
Harvey Keitel
Harrison Ford
Rutger Hauer
Sean Young
Edward James Olmos
Shameik Moore
Jake Johnson
Hailee Steinfeld
Mahershala Ali
Kurt Russell
Val Kilmer
Sam Elliott
Bill Paxton
Amy Adams
Jeremy Renner
Forest Whitaker
Michael Stuhlbarg
Johnny Depp
Geoffrey Rush
Orlando Bloom
Keira Knightley
Daniel Brühl
Chris Hemsworth
Olivia Wilde
Alexandra Maria Lara
Frances McDormand
Woody Harrelson
Sam Rockwell
Caleb Landry Jones
"""Aulii Cravalho"""
Dwayne Johnson
Rachel House
Temuera Morrison
Felicity Jones
Diego Luna
Alan Tudyk
Donnie Yen
Ansel Elgort
Jon Bernthal
Jon Hamm
Eiza González
Tom Cruise
Henry Cavill
Ving Rhames
Simon Pegg
Ryan Gosling
Carey Mulligan
Bryan Cranston
Albert Brooks
Colin Firth
Taron Egerton
Samuel L. Jackson
Michael Caine
Macaulay Culkin
Joe Pesci
Daniel Stern
John Heard
Henry Fonda
Lee J. Cobb
Martin Balsam
John Fiedler
Jack Nicholson
Shelley Duvall
Danny Lloyd
Scatman Crothers
Audrey Hepburn
Rex Harrison
Stanley Holloway
Wilfrid Hyde-White
Mads Mikkelsen
Thomas Bo Larsen
Annika Wedderkopp
Lasse Fogelstrøm
Al Pacino
Michelle Pfeiffer
Steven Bauer
Mary Elizabeth Mastrantonio
Robin Williams
Matt Damon
Ben Affleck
Stellan Skarsgård
Natalie Portman
Mila Kunis
Vincent Cassel
Winona Ryder
Mark Hamill
Harrison Ford
Carrie Fisher
Alec Guinness
Wil Wheaton
River Phoenix
Corey Feldman
" ""Jerry OConnell"""
Jim Caviezel
Guy Pearce
Christopher Adamson
JB Blanc
Elijah Wood
Ian McKellen
Viggo Mortensen
Orlando Bloom
Jason Statham
Brad Pitt
Benicio Del Toro
Dennis Farina
Bill Murray
Dan Aykroyd
Sigourney Weaver
Harold Ramis
Matthew Broderick
Jeremy Irons
James Earl Jones
Whoopi Goldberg
Emile Hirsch
Vince Vaughn
Catherine Keener
Marcia Gay Harden
Harrison Ford
Karen Allen
Paul Freeman
John Rhys-Davies
Jake Gyllenhaal
Jena Malone
Mary McDonnell
Holmes Osborne
Daveigh Chase
Suzanne Pleshette
Miyu Irino
Rumi Hiiragi
Jim Carrey
Kate Winslet
Tom Wilkinson
Gerry Robert Byrne
Mark Wahlberg
Julianne Moore
Burt Reynolds
Luis Guzmán
Sylvester Stallone
Talia Shire
Burt Young
Carl Weathers
Simon Pegg
Nick Frost
Martin Freeman
Bill Nighy
Daniel Day-Lewis
Paul Dano
Ciarán Hinds
Martin Stringer
Jack Nicholson
Louise Fletcher
Michael Berryman
Peter Brocco
Emma Stone
Viola Davis
Octavia Spencer
Bryce Dallas Howard
Orson Welles
Joseph Cotten
Dorothy Comingore
Agnes Moorehead
Ginnifer Goodwin
Jason Bateman
Idris Elba
Jenny Slate
Christian Bale
Steve Carell
Ryan Gosling
Brad Pitt
Matthew Broderick
Alan Ruck
Mia Sara
Jeffrey Jones
Emilio Estevez
Judd Nelson
Molly Ringwald
Ally Sheedy
Noémie Merlant
Adèle Haenel
Luàna Bajrami
Valeria Golino
Tom Hanks
Helen Hunt
Paul Sanchez
Lari White
Clint Eastwood
Eli Wallach
Lee Van Cleef
Aldo Giuffrè
Daniel Radcliffe
Emma Watson
Rupert Grint
Richard Griffiths
Charlton Heston
Yul Brynner
Anne Baxter
Edward G. Robinson
Kevin Spacey
Gabriel Byrne
Chazz Palminteri
Stephen Baldwin
François Cluzet
Omar Sy
Anne Le Ny
Audrey Fleurot
Billy Crudup
Patrick Fugit
Kate Hudson
Frances McDormand
Jake Gyllenhaal
Robert Downey Jr.
Mark Ruffalo
Anthony Edwards
Jim Carrey
Ed Harris
Laura Linney
Noah Emmerich
Guy Pearce
Carrie-Anne Moss
Joe Pantoliano
Mark Boone Junior
Joe Pesci
Marisa Tomei
Ralph Macchio
Mitchell Whitfield
Daniel Craig
Rooney Mara
Christopher Plummer
Stellan Skarsgård
Jared Gilman
Kara Hayward
Bruce Willis
Bill Murray
Gena Rowlands
James Garner
Rachel McAdams
Ryan Gosling
Chiwetel Ejiofor
Michael Kenneth Williams
Michael Fassbender
Brad Pitt
Ryan Gosling
Emma Stone
Rosemarie DeWitt
J.K. Simmons
Samuel L. Jackson
Kurt Russell
Jennifer Jason Leigh
Walton Goggins
Harvey Keitel
Tim Roth
Michael Madsen
Chris Penn
Chris Evans
Mckenna Grace
Lindsay Duncan
Octavia Spencer
Craig T. Nelson
Samuel L. Jackson
Holly Hunter
Jason Lee
Uma Thurman
David Carradine
Daryl Hannah
Michael Madsen
Mark Ruffalo
Michael Keaton
Rachel McAdams
Liev Schreiber
Emily Blunt
Josh Brolin
Benicio Del Toro
Jon Bernthal
Christian Slater
Patricia Arquette
Dennis Hopper
Val Kilmer
Edward Norton
Edward Furlong
" ""Beverly DAngelo"""
Jennifer Lien
Joaquin Phoenix
Amy Adams
Scarlett Johansson
Rooney Mara
Kevin Costner
Mary McDonnell
Graham Greene
Rodney A. Grant
Alicia Vikander
Domhnall Gleeson
Oscar Isaac
Sonoya Mizuno
Choi Min-sik
Yoo Ji-Tae
Kang Hye-jeong
Kim Byeong-Ok
Ben Affleck
Bryan Cranston
John Goodman
Alan Arkin
Alexandre Rodrigues
Leandro Firmino
Matheus Nachtergaele
Phellipe Haagensen
Charlie Sheen
Tom Berenger
Willem Dafoe
Keith David
Naomi Watts
Laura Harring
Justin Theroux
Jeanne Bates
Daisy Ridley
John Boyega
Oscar Isaac
Domhnall Gleeson
Richard Gere
Laura Linney
Edward Norton
John Mahoney
Arnold Schwarzenegger
Linda Hamilton
Edward Furlong
Robert Patrick
Keira Knightley
James McAvoy
Brenda Blethyn
Saoirse Ronan
Al Pacino
Sean Penn
Penelope Ann Miller
John Leguizamo
Brie Larson
Jacob Tremblay
Sean Bridgers
Wendy Crewson
Ewan McGregor
Ewen Bremner
Jonny Lee Miller
Kevin McKidd
Gerardo Taracena
Raoul Max Trujillo
Dalia Hernández
Rudy Youngblood
Elizabeth Olsen
Jeremy Renner
Graham Greene
Kelsey Asbille
Keir Dullea
Gary Lockwood
William Sylvester
Daniel Richter
Arnold Schwarzenegger
Linda Hamilton
Michael Biehn
Paul Winfield
Denzel Washington
Ethan Hawke
Scott Glenn
Tom Berenger
Logan Lerman
Emma Watson
Ezra Miller
Paul Rudd
Jake Gyllenhaal
Rene Russo
Bill Paxton
Riz Ahmed
Leonardo DiCaprio
Tom Hardy
Will Poulter
Domhnall Gleeson
Daniel Craig
Eva Green
Judi Dench
Jeffrey Wright
Roy Scheider
Robert Shaw
Richard Dreyfuss
Lorraine Gary
Roberto Benigni
Nicoletta Braschi
Giorgio Cantarini
Giustino Durano
Aleksey Kravchenko
Olga Mironova
Liubomiras Laucevicius
Vladas Bagdonas
Matthew Modine
R. Lee Ermey
" ""Vincent DOnofrio"""
Adam Baldwin
Ryûnosuke Kamiki
Mone Kamishiraishi
Ryô Narita
Aoi Yûki
Leonardo DiCaprio
Tom Hanks
Christopher Walken
Martin Sheen
Russell Crowe
Ed Harris
Jennifer Connelly
Christopher Plummer
Zach Galifianakis
Bradley Cooper
Justin Bartha
Ed Helms
Taraji P. Henson
Octavia Spencer
Janelle Monáe
Kevin Costner
James McAvoy
Michael Fassbender
Jennifer Lawrence
Kevin Bacon
Kim Min-hee
Jung-woo Ha
Cho Jin-woong
Moon So-ri
Sidney Poitier
Rod Steiger
Warren Oates
Lee Grant
Hugo Weaving
Natalie Portman
Rupert Graves
Stephen Rea
Anthony Gonzalez
Gael García Bernal
Benjamin Bratt
Alanna Ubach
Bradley Cooper
Jennifer Lawrence
Robert De Niro
Jacki Weaver
Chieko Baishô
Takuya Kimura
Tatsuya Gashûin
Akihiro Miwa
Robert De Niro
James Woods
Elizabeth McGovern
Treat Williams
Bruce Willis
Alan Rickman
Bonnie Bedelia
Reginald VelJohnson
Daniel Day-Lewis
Pete Postlethwaite
Alison Crosbie
Philip King
Ian McKellen
Martin Freeman
Richard Armitage
Ken Stott
Arnold Schwarzenegger
Carl Weathers
Kevin Peter Hall
Elpidia Carrillo
Kevin Spacey
Russell Crowe
Guy Pearce
Kim Basinger
Mickey Rourke
Clive Owen
Bruce Willis
Jessica Alba
Robert De Niro
Sharon Stone
Joe Pesci
James Woods
Zack Gottsagen
Ann Owens
Dakota Johnson
Bruce Dern
Spencer Tracy
Burt Lancaster
Richard Widmark
Marlene Dietrich
Robert Hays
Julie Hagerty
Leslie Nielsen
Kareem Abdul-Jabbar
Tom Hardy
Nick Nolte
Joel Edgerton
Jennifer Morrison
Cillian Murphy
Naomie Harris
Christopher Eccleston
Alex Palmer
Tom Hanks
Tim Allen
Don Rickles
Jim Varney
Mario Casas
Ana Wagener
Jose Coronado
Bárbara Lennie
Julie Andrews
Christopher Plummer
Eleanor Parker
Richard Haydn
Benedict Cumberbatch
Keira Knightley
Matthew Goode
Allen Leech
"""OShea Jackson Jr."""
Corey Hawkins
Jason Mitchell
Neil Brown Jr.
Ewan McGregor
Albert Finney
Billy Crudup
Jessica Lange
Simon Pegg
Nick Frost
Kate Ashfield
Lucy Davis
Ivana Baquero
Ariadna Gil
Sergi López
Maribel Verdú
Henry Thomas
Drew Barrymore
Peter Coyote
Dee Wallace
Amy Poehler
Bill Hader
Lewis Black
Mindy Kaling
Patrick Stewart
Ian McKellen
Hugh Jackman
James McAvoy
Robin Williams
Robert Sean Leonard
Ethan Hawke
Josh Charles
Tom Cruise
Colin Farrell
Samantha Morton
Max von Sydow
Tom Cruise
Emily Blunt
Bill Paxton
Brendan Gleeson
Anthony Perkins
Janet Leigh
Vera Miles
John Gavin
Bruce Willis
Haley Joel Osment
Toni Collette
Olivia Williams
Brad Garrett
Lou Romano
Patton Oswalt
Ian Holm
Ellen Burstyn
Max von Sydow
Linda Blair
Lee J. Cobb
Ron Livingston
Jennifer Aniston
David Herman
Ajay Naidu
Brad Pitt
Cate Blanchett
Tilda Swinton
Julia Ormond
Tom Hanks
Tim Allen
Annie Potts
Tony Hale
Aaron Taylor-Johnson
Nicolas Cage
Chloë Grace Moretz
Garrett M. Brown
Albert Brooks
Ellen DeGeneres
Alexander Gould
Willem Dafoe
Mandy Moore
Zachary Levi
Donna Murphy
Ron Perlman
Chris Pine
Zachary Quinto
Simon Pegg
Leonard Nimoy
Clint Eastwood
Gene Hackman
Morgan Freeman
Richard Harris
Franka Potente
Matt Damon
Chris Cooper
Clive Owen
Bill Murray
Scarlett Johansson
Giovanni Ribisi
Anna Faris
Robert Downey Jr.
Jude Law
Rachel McAdams
Mark Strong
Denzel Washington
Russell Crowe
Chiwetel Ejiofor
Josh Brolin
Emma Thompson
Kate Winslet
James Fleet
Tom Wilkinson
Julianne Moore
Clive Owen
Chiwetel Ejiofor
Michael Caine
Mark Hamill
Harrison Ford
Carrie Fisher
Billy Dee Williams
Adam Driver
Scarlett Johansson
Julia Greer
Azhy Robertson
Steve Carell
Toni Collette
Greg Kinnear
Abigail Breslin
Cary Elwes
Leigh Whannell
Danny Glover
Ken Leung
Sam Neill
Julian Dennison
Rima Te Wiata
Rachel House
Mark Hamill
Harrison Ford
Carrie Fisher
Billy Dee Williams
Tom Hanks
Bill Paxton
Kevin Bacon
Gary Sinise
Matthew McConaughey
Jennifer Garner
Jared Leto
Steve Zahn
Clark Gable
Vivien Leigh
Thomas Mitchell
" ""Barbara ONeil"""
Robert De Niro
Christopher Walken
John Cazale
John Savage
Sylvester Stallone
Brian Dennehy
Richard Crenna
Bill McKinney
Denzel Washington
Clive Owen
Jodie Foster
Christopher Plummer
Michael Keaton
Zach Galifianakis
Edward Norton
Andrea Riseborough
Jon Voight
Burt Reynolds
Ned Beatty
Ronny Cox
Humphrey Bogart
Ingrid Bergman
Paul Henreid
Claude Rains
Mark Ruffalo
Anne Hathaway
Tim Robbins
Bill Pullman
George Clooney
Brad Pitt
Julia Roberts
Matt Damon
Kang-ho Song
Kim Sang-kyung
Roe-ha Kim
Jae-ho Song
Jeff Bridges
Matt Damon
Hailee Steinfeld
Josh Brolin
Dustin Hoffman
Tom Cruise
Valeria Golino
Gerald R. Molen
Jacob Tremblay
Owen Wilson
Izabela Vidovic
Julia Roberts
Don Cheadle
Sandra Bullock
Thandiwe Newton
Karina Arroyave
Michael Beck
James Remar
Dorsey Wright
Brian Tyler
Charlton Heston
Jack Hawkins
Stephen Boyd
Haya Harareet
John Belushi
Dan Aykroyd
Cab Calloway
John Candy
Judy Garland
Frank Morgan
Ray Bolger
Bert Lahr
Kurt Russell
Wilford Brimley
Keith David
Richard Masur
Josh Hartnett
Ewan McGregor
Tom Sizemore
Eric Bana
Jason Flemyng
Dexter Fletcher
Nick Moran
Jason Statham
Johnny Depp
Benicio Del Toro
Tobey Maguire
Michael Lee Gogin
Edward Asner
Jordan Nagai
John Ratzenberger
Christopher Plummer
Daniel Day-Lewis
Madeleine Stowe
Russell Means
Eric Schweig
Léa Seydoux
Adèle Exarchopoulos
Salim Kechiouche
Aurélien Recoing
Quinton Aaron
Sandra Bullock
Tim McGraw
Jae Head
Jemaine Clement
Taika Waititi
Cori Gonzalez-Macuer
Jonny Brugh
Uma Thurman
David Carradine
Michael Madsen
Daryl Hannah
Michael J. Fox
Christopher Lloyd
Lea Thompson
Thomas F. Wilson
Casey Affleck
Michelle Williams
Kyle Chandler
Lucas Hedges
F. Murray Abraham
Tom Hulce
Elizabeth Berridge
Roy Dotrice
Morgan Freeman
Ed Harris
Casey Affleck
Michelle Monaghan
Billy Crystal
John Goodman
Mary Gibbs
Steve Buscemi
Henry Fonda
Charles Bronson
Claudia Cardinale
Jason Robards
Owen Wilson
Rachel McAdams
Kathy Bates
Kurt Fuller
Zain Al Rafeea
Yordanos Shiferaw
Boluwatife Treasure Bankole
Kawsar Al Haddad
Liam Neeson
Maggie Grace
Famke Janssen
Leland Orser
Sean Penn
Tim Robbins
Kevin Bacon
Emmy Rossum
Ming-Na Wen
Eddie Murphy
BD Wong
Miguel Ferrer
Ulrich Mühe
Martina Gedeck
Sebastian Koch
Ulrich Tukur
Mel Gibson
Danny Glover
Gary Busey
Mitchell Ryan
Paul Scofield
Wendy Hiller
Robert Shaw
Leo McKern
Audrey Hepburn
George Peppard
Patricia Neal
Buddy Ebsen
Denzel Washington
Will Patton
Wood Harris
Ryan Hurst
Toshirô Mifune
Takashi Shimura
Keiko Tsushima
Yukiko Shimazaki
Jay Baruchel
Gerard Butler
Christopher Mintz-Plasse
Craig Ferguson
Colin Firth
Geoffrey Rush
Helena Bonham Carter
Derek Jacobi
Audrey Tautou
Mathieu Kassovitz
Rufus
Lorella Cravotta
Ryan Potter
Scott Adsit
Jamie Chung
T.J. Miller
James Stewart
Grace Kelly
Wendell Corey
Thelma Ritter
Harrison Ford
Sean Connery
Alison Doody
Denholm Elliott
Nathan Fillion
Gina Torres
Chiwetel Ejiofor
Alan Tudyk
Johnny Depp
Leonardo DiCaprio
Juliette Lewis
Mary Steenburgen
Humphrey Bogart
Edward G. Robinson
Lauren Bacall
Lionel Barrymore
Jack Nicholson
Faye Dunaway
John Huston
Perry Lopez
Craig T. Nelson
Holly Hunter
Sarah Vowell
Huck Milner
Jim Caviezel
Sean Penn
Nick Nolte
Kirk Acevedo
George Clooney
John Turturro
Tim Blake Nelson
John Goodman
Clint Eastwood
Bee Vang
Christopher Carley
Ahney Her
Yul Brynner
Steve McQueen
Charles Bronson
Eli Wallach
Chris Pine
Ben Foster
Jeff Bridges
Gil Birmingham
Lubna Azabal
Mélissa Désormeaux-Poulin
Maxim Gaudette
Mustafa Kamel
Bob Hoskins
Christopher Lloyd
Joanna Cassidy
Charles Fleischer
Ben Burtt
Elissa Knight
Jeff Garlin
Fred Willard
Al Pacino
" ""Chris ODonnell"""
James Rebhorn
Gabrielle Anwar
Bruno Ganz
Alexandra Maria Lara
Ulrich Matthes
Juliane Köhler
Aamir Khan
Madhavan
Mona Singh
Sharman Joshi
Jake Gyllenhaal
Michael Peña
Anna Kendrick
America Ferrera
Julie Andrews
Dick Van Dyke
David Tomlinson
Glynis Johns
Yôji Matsuda
Yuriko Ishida
Yûko Tanaka
Billy Crudup
Naomi Watts
Viggo Mortensen
Armin Mueller-Stahl
Josef Altin
Leonardo DiCaprio
Djimon Hounsou
Jennifer Connelly
Kagiso Kuypers
Bruce Willis
Madeleine Stowe
Brad Pitt
Joseph Melito
Dev Patel
Freida Pinto
Saurabh Shukla
Anil Kapoor
Tom Cruise
Jack Nicholson
Demi Moore
Kevin Bacon
Dakota Fanning
Teri Hatcher
John Hodgman
Jennifer Saunders
Sandra Bullock
George Clooney
Ed Harris
Orto Ignatiussen
James Caan
Kathy Bates
Richard Farnsworth
Frances Sternhagen
Tony Chiu-Wai Leung
Maggie Cheung
Ping Lam Siu
" ""Tung ChoJoe Cheung"""
Nicole Kidman
Christopher Eccleston
Fionnula Flanagan
Alakina Mann
Kevin Costner
Sean Connery
Robert De Niro
Charles Martin Smith
Alec Guinness
Peter Sellers
Cecil Parker
Herbert Lom
Brooklynn Prince
Bria Vinaite
Willem Dafoe
Christopher Rivera
Michael B. Jordan
Jamie Foxx
Brie Larson
Charlie Pye Jr.
Peter Sellers
George C. Scott
Sterling Hayden
Keenan Wynn
Eddie Redmayne
Felicity Jones
Tom Prior
Sophie Perry
Bill Murray
Andie MacDowell
Chris Elliott
Stephen Tobolowsky
Tsutomu Tatsumi
Ayano Shiraishi
Akemi Yamaguchi
Yoshiko Shinohara
Jesse Eisenberg
Emma Stone
Woody Harrelson
Abigail Breslin
Gregory Peck
John Megna
Frank Overton
Rosemary Murphy
Danny Aiello
Ossie Davis
Ruby Dee
Richard Edson
Tom Cruise
Ken Watanabe
Billy Connolly
William Atherton
Zooey Deschanel
Joseph Gordon-Levitt
Geoffrey Arend
Chloë Grace Moretz
Johnny Depp
Winona Ryder
Dianne Wiest
Anthony Michael Hall
Gene Wilder
Jack Albertson
Peter Ostrum
Roy Kinnear
George Clooney
Meryl Streep
Bill Murray
Jason Schwartzman
Richard Burton
Clint Eastwood
Mary Ure
Patrick Wymark
Tom Hanks
Barkhad Abdi
Barkhad Abdirahman
Catherine Keener
Isabella Rossellini
Kyle MacLachlan
Dennis Hopper
Laura Dern
Lee Byung-Hun
Choi Min-sik
Jeon Gook-Hwan
Ho-jin Chun
Matt Damon
Franka Potente
Joan Allen
Brian Cox
Anthony Hopkins
John Hurt
Anne Bancroft
John Gielgud
Dustin Hoffman
Anne Bancroft
Katharine Ross
William Daniels
Ethan Hawke
Uma Thurman
Jude Law
Gore Vidal
Hilary Swank
Clint Eastwood
Morgan Freeman
Jay Baruchel
Will Smith
Thandiwe Newton
Jaden Smith
Brian Howe
Tom Cruise
Jason Robards
Julianne Moore
Philip Seymour Hoffman
Denzel Washington
Christopher Walken
Dakota Fanning
Radha Mitchell
Steve Carell
Jason Segel
Russell Brand
Julie Andrews
Robert De Niro
Cathy Moriarty
Joe Pesci
Frank Vincent
Harrison Ford
Tommy Lee Jones
Sela Ward
Julianne Moore
Ethan Hawke
Julie Delpy
Andrea Eckert
Hanno Pöschl
"""Peter OToole"""
Alec Guinness
Anthony Quinn
Jack Hawkins
Dev Patel
Nicole Kidman
Rooney Mara
Sunny Pawar
Gene Hackman
Gwyneth Paltrow
Anjelica Huston
Ben Stiller
Robert De Niro
Chazz Palminteri
Lillo Brancato
Francis Capra
Matt Damon
Edgar Ramírez
Joan Allen
Julia Stiles
James Stewart
Kim Novak
Barbara Bel Geddes
Tom Helmore
Jared Leto
Sarah Polley
Diane Kruger
Linh Dan Pham
Michael Douglas
Robert Duvall
Barbara Hershey
Rachel Ticotin
Suraj Sharma
Irrfan Khan
Adil Hussain
Tabu
Chris Pine
Zachary Quinto
Zoe Saldana
Benedict Cumberbatch
Jodi Benson
Samuel E. Wright
